         7234688 function calls (6622586 primitive calls) in 11.808 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24000    2.269    0.000    4.783    0.000 Battle.py:199(update_unit_count)
   146006    0.963    0.000    0.963    0.000 {method 'reduce' of 'numpy.ufunc' objects}
434000/242000    0.686    0.000    4.439    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
388000/4000    0.599    0.000    1.412    0.000 copy.py:128(deepcopy)
    12000    0.565    0.000    2.668    0.000 Battle.py:135(roll_ground_and_apply_hits_wr2)
    12000    0.505    0.000    1.989    0.000 Battle.py:91(roll_air_and_apply_hits_wr2)
   144000    0.330    0.000    0.819    0.000 _ufunc_config.py:33(seterr)
   124000    0.316    0.000    1.291    0.000 fromnumeric.py:69(_wrapreduction)
   144000    0.277    0.000    0.297    0.000 _ufunc_config.py:132(geterr)
    24000    0.250    0.000    0.278    0.000 function_base.py:1320(diff)
    24000    0.214    0.000    0.722    0.000 histograms.py:360(_get_bin_edges)
    24000    0.206    0.000    1.604    0.000 histograms.py:678(histogram)
    60000    0.178    0.000    0.178    0.000 {method 'argsort' of 'numpy.ndarray' objects}
36000/4000    0.169    0.000    1.300    0.000 copy.py:226(_deepcopy_dict)
    12000    0.161    0.000    0.445    0.000 shape_base.py:739(array_split)
    76000    0.148    0.000    0.958    0.000 fromnumeric.py:2188(sum)
   144000    0.135    0.000    0.135    0.000 {built-in method numpy.seterrobj}
    36000    0.130    0.000    0.130    0.000 {built-in method numpy.arange}
     4000    0.126    0.000    0.246    0.000 Army.py:125(update_dice_ground)
    24000    0.125    0.000    2.163    0.000 D12Colored.py:26(roll)
    60000    0.118    0.000    0.118    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
   784046    0.106    0.000    0.106    0.000 {method 'get' of 'dict' objects}
    24000    0.103    0.000    0.158    0.000 D12Colored.py:28(<listcomp>)
    24000    0.103    0.000    0.103    0.000 {method 'random_sample' of 'numpy.random.mtrand.RandomState' objects}
    76000    0.097    0.000    1.174    0.000 <__array_function__ internals>:177(sum)
   120000    0.096    0.000    0.133    0.000 copy.py:242(_keep_alive)
    72000    0.096    0.000    0.479    0.000 _ufunc_config.py:435(__exit__)
    48000    0.092    0.000    0.600    0.000 fromnumeric.py:2333(any)
   124000    0.091    0.000    0.091    0.000 fromnumeric.py:70(<dictcomp>)
    14000    0.089    0.000    0.089    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
   106000    0.087    0.000    0.380    0.000 fromnumeric.py:51(_wrapfunc)
   568003    0.079    0.000    0.079    0.000 {built-in method builtins.id}
    52000    0.078    0.000    0.078    0.000 {built-in method numpy.asarray}
   288000    0.077    0.000    0.077    0.000 {built-in method numpy.geterrobj}
    72000    0.077    0.000    0.513    0.000 _ufunc_config.py:430(__enter__)
     2000    0.074    0.000   10.088    0.005 Battle.py:324(run_warroomv2)
    60000    0.072    0.000    0.315    0.000 fromnumeric.py:1038(argsort)
     4000    0.063    0.000    0.089    0.000 arraysetops.py:323(_unique1d)
    48000    0.061    0.000    0.807    0.000 <__array_function__ internals>:177(any)
    60000    0.061    0.000    0.443    0.000 <__array_function__ internals>:177(argsort)
    48000    0.059    0.000    0.059    0.000 {built-in method numpy.zeros}
    24000    0.058    0.000    0.130    0.000 histograms.py:283(_ravel_and_check_weights)
    24000    0.058    0.000    0.058    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    44000    0.055    0.000    0.055    0.000 D12Colored.py:12(roll_once)
   198173    0.053    0.000    0.053    0.000 {built-in method builtins.getattr}
    64000    0.050    0.000    0.121    0.000 <__array_function__ internals>:177(ndim)
    42000    0.049    0.000    0.251    0.000 <__array_function__ internals>:177(concatenate)
    14000    0.049    0.000    0.049    0.000 {built-in method numpy.array}
    12000    0.046    0.000    0.046    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
     2000    0.043    0.000    0.087    0.000 Battle.py:308(check_batch_cap)
8000/4000    0.042    0.000    1.366    0.000 copy.py:258(_reconstruct)
    72000    0.042    0.000    0.042    0.000 _ufunc_config.py:426(__init__)
   120284    0.042    0.000    0.042    0.000 {built-in method builtins.len}
   258008    0.042    0.000    0.042    0.000 {method 'append' of 'list' objects}
        1    0.040    0.040   11.808   11.808 Simulate.py:99(run)
   112314    0.038    0.000    0.038    0.000 {built-in method builtins.isinstance}
    12000    0.036    0.000    0.524    0.000 shape_base.py:799(split)
    12000    0.036    0.000    0.138    0.000 copy.py:200(_deepcopy_list)
   160003    0.033    0.000    0.033    0.000 {method 'items' of 'dict' objects}
    36000    0.032    0.000    0.154    0.000 <__array_function__ internals>:177(swapaxes)
   264000    0.031    0.000    0.031    0.000 copy.py:182(_deepcopy_atomic)
    36000    0.028    0.000    0.028    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
    24000    0.028    0.000    0.347    0.000 <__array_function__ internals>:177(diff)
     2000    0.027    0.000   10.228    0.005 Battle.py:358(run)
    24000    0.027    0.000    1.677    0.000 <__array_function__ internals>:177(histogram)
     8000    0.027    0.000    0.027    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
